,Artiste,Titre,Catégorie,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1428, Megadeth,Symphony Of Destruction,rock,51TG9W3y9qyO8BY5RXKgnZ,0.61,0.891,4,-5.452,0,0.0587,0.000805,0.0928,0.0657,0.51,139.903,246733,4
1429, Robert Palmer Eric 'ET' Thorngren,Addicted To Love,rock,5izGeTxueiFX1UPFGohY9w,0.702,0.578,2,-13.415,1,0.031,0.382,5.89e-06,0.0425,0.975,111.617,363640,4
1430, Paul Young,Every Time You Go Away - Radio Edit,rock,05fHQeRbCSjKVS6z0WbQKJ,0.572,0.721,5,-8.959,1,0.0402,0.187,7.41e-06,0.216,0.844,164.252,267000,4
1431, UNSECRET Nilka,Last Survivor,rock,0Q3NvZeZU220BEndCXL0Gi,0.436,0.538,11,-10.667,0,0.0515,0.285,0.00363,0.113,0.207,149.951,285303,4
1432, Joe Walsh,Life's Been Good,rock,2wvMC5EyaaYQwBfiwwY2xE,0.505,0.476,2,-12.897,1,0.0711,0.25,0.00915,0.113,0.542,99.31,536227,4
1433, Faces,Ooh La La,rock,4lJ6YVXQ0jUk5ILu0PSrA4,0.601,0.574,2,-8.166,1,0.03,0.579,1.14e-05,0.216,0.8,147.964,214080,4
1434, John Waite,Missing You,rock,1Qrdlkgg9I4J7r3P4kZNwr,0.552,0.552,11,-9.736,0,0.0364,0.052,0.0,0.046,0.593,208.571,269760,4
1435, Neoni,OUTLAW,rock,4pe2J5v0X3rwc3dqVosq69,0.665,0.754,7,-4.128,0,0.0818,0.632,1.59e-05,0.0851,0.696,119.995,198257,4
1436, Ayron Jones,Take Me Away,rock,4CEqDmkqD7illXHuym76V6,0.475,0.844,1,-4.448,0,0.0622,0.00012,0.111,0.221,0.554,156.136,246933,4
1437, Ron Gallo,"Young Lady, You're Scaring Me",rock,1z9tECYvYsvautkr8G2XDK,0.371,0.921,9,-5.533,1,0.0784,0.0113,2.7e-05,0.43,0.508,109.675,220538,4
1438, Nathaniel Rateliff & The Night Sweats,You Worry Me,rock,0gqxf8wrEkewjmZB7OT4mL,0.665,0.639,2,-7.747,1,0.0276,0.121,0.327,0.0952,0.642,100.082,214160,4
1439, Dr JOE,Keep on Coming,rock,20lmt0oQL8lO6Qk5QXqzl8,0.625,0.627,7,-7.975,0,0.0235,0.0844,3.85e-05,0.138,0.869,82.036,193371,4
1440, Thrice,Sea Change,rock,7vNlyHGvF1UPwIGjQBoVFG,0.681,0.496,0,-7.916,0,0.031,0.0567,0.337,0.126,0.272,134.953,285068,4
1441, No Fit State,On Your Own,rock,5l74gBFPuMkN1KcoLMP1Zk,0.326,0.677,9,-5.449,1,0.116,0.0109,0.00281,0.385,0.586,184.8,180324,4
1442, Black Pistol Fire,Hope in Hell,rock,1V7pwuAxWG48J7RATlPT80,0.338,0.521,9,-10.15,0,0.0341,0.0202,0.0,0.325,0.287,145.687,267427,4
1443, My Morning Jacket,One Big Holiday,rock,5G2nuYsTavenm3V1uTo7fQ,0.396,0.962,9,-4.429,0,0.0703,0.0251,0.0555,0.306,0.363,136.971,320787,4
1444, The Teskey Brothers,So Caught Up,rock,4hXyXsww7q7ETKeVKD034T,0.744,0.693,4,-6.563,0,0.0261,0.293,0.00056,0.305,0.896,99.048,228553,4
1445, Marcus King,The Well,rock,6PPKEOG6TwpExLXDnj1QKH,0.58,0.573,9,-8.137,1,0.061,0.00305,0.0015,0.182,0.477,121.225,177093,4
1446, Songhoy Blues,Worry,rock,1hAIPXpzfpBGsWGYTf69MM,0.544,0.827,0,-6.912,1,0.0357,0.0414,0.00463,0.217,0.867,96.333,185160,4
1447, White Reaper,Might Be Right,rock,5YTDnlr6qzl0XIGCqHP7sx,0.595,0.861,1,-3.907,0,0.0327,0.00222,0.18,0.227,0.892,131.995,237013,4
1448, Finish Ticket,Timebomb,rock,6sL5xpggC1TcBlee5xgeJ4,0.515,0.826,1,-4.268,1,0.0414,0.0319,6.37e-05,0.077,0.685,149.954,220889,4
1449, KALEO,I Want More,rock,4xQRRue5qsu2tULiz7UDKi,0.55,0.531,8,-7.431,1,0.0309,0.256,0.0,0.0509,0.364,98.014,212393,4
1450, The Blue Stones,Let It Ride,rock,1TR1KgInMmVlpCI6QWg0Ze,0.53,0.896,1,-4.426,0,0.04,0.000241,0.0222,0.271,0.543,128.005,217787,4
1451, David Shaw,Shaken,rock,1vrowatdp0nH5e5iAnNFqx,0.407,0.892,5,-4.1,1,0.049,0.00523,1.64e-05,0.247,0.678,153.537,235592,4
1452, Mammoth WVH,Distance,rock,5TYNKVXt0NA46vrMOf037s,0.404,0.962,2,-5.106,1,0.387,0.000495,0.654,0.384,0.418,177.045,252417,4
1453, Bleachers Bruce Springsteen,chinatown (feat. Bruce Springsteen),rock,7IY2JF7AlVN5uvIUBVnSJd,0.442,0.689,4,-5.289,1,0.0251,0.00458,0.0,0.11,0.208,89.001,247968,3
1454, KidEyes,Don’t Hold Back,rock,1OoWnDjcAP3Q4FH7pfFIBk,0.559,0.589,5,-5.207,1,0.0332,0.0983,0.0,0.131,0.381,136.286,226063,4
1455, Blue October,Moving on (So Long),rock,3FAmoaCBzIFLrfF3i9gOSg,0.649,0.736,0,-5.93,1,0.0397,0.0524,0.0,0.152,0.529,110.035,187773,4
1456, Mo Lowda & the Humble,Pearls,rock,7t91zpWtUO9xORfkwnKSQG,0.569,0.743,0,-6.947,0,0.0504,0.0492,0.00176,0.13,0.767,81.501,208402,4
1457, Bones Owens,Lightning Strike,rock,5QN2EOIp6XFXCV85dOp35H,0.573,0.946,5,-4.872,1,0.0895,0.182,0.000205,0.161,0.882,160.788,178665,4
