,Artiste,Titre,Année,Rang,id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
687,fun,some nights,2013,58,6t6oULCRS6hnI7rm0h5gwl,71,0.672,0.738,0,-7.045,1,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,277040,4
689,katy perry,wide awake,2012,15,5JLv62qFIS1DR3zGEcApRt,68,0.514,0.683,5,-5.099,1,0.0367,0.0749,2.64e-06,0.392,0.575,159.814,220947,4
690,flo rida,good feeling,2012,16,2LEF1A8DOZ9wRYikWgVlZ8,74,0.706,0.89,1,-4.444,0,0.0688,0.0588,0.00286,0.306,0.684,128.011,248133,4
691,flo rida,whistle,2012,17,3bC1ahPIYt1btJzSSEyyrF,77,0.747,0.937,0,-5.746,1,0.0453,0.0208,0.0,0.29,0.739,103.976,224653,4
692,maroon 5,one more night,2012,18,4XNrMwGx1SqP01sqkGTDmo,66,0.718,0.82,5,-3.453,0,0.0323,0.0444,0.0,0.0846,0.613,92.998,219467,4
694,maroon 5,one more night,2013,38,4XNrMwGx1SqP01sqkGTDmo,66,0.718,0.82,5,-3.453,0,0.0323,0.0444,0.0,0.0846,0.613,92.998,219467,4
696,train,drive by,2012,19,0KAiuUOrLTIkzkpfpn9jb9,75,0.765,0.837,1,-3.113,0,0.032,0.00107,1.06e-05,0.0801,0.721,122.028,195973,4
697,drake ring lil wayne,the motto,2012,20,4Kz4RdRCceaA9VgTqBhBfa,73,0.766,0.442,1,-8.558,1,0.356,0.000107,6.12e-05,0.111,0.39,201.8,181573,4
698,rihanna,where have you been,2012,21,5WQQIDU3HRaMyPkob8mpFb,69,0.719,0.847,0,-6.34,0,0.0916,0.00201,0.0204,0.221,0.444,127.963,242680,4
699,neon trees,everybody talks,2012,22,2iUmqdfGZcHIhS3b9E9EWq,78,0.471,0.924,8,-3.906,1,0.0586,0.00301,0.0,0.313,0.725,154.961,177280,4
700,drake ring rihanna,take care,2012,23,124NFj84ppZ5pAxTuVQYCQ,73,0.629,0.515,0,-10.358,0,0.265,0.0267,1.22e-05,0.0888,0.299,121.845,277387,4
701,david guetta ring sia,titanium,2012,24,0lHAMNU8RGiIObScrsRgmP,67,0.604,0.788,0,-3.673,0,0.103,0.0678,0.153,0.127,0.301,126.06,245040,4
702,jason mraz,i won't give up,2012,25,53QF56cjZA9RTuuMZDrSA6,73,0.585,0.303,4,-10.058,1,0.0398,0.694,0.0,0.115,0.142,136.703,240166,3
703,bruno mars,it will rain,2012,26,0RUGuh2uSNFJpGMSsD1F5C,67,0.576,0.835,2,-6.826,1,0.0486,0.337,0.0,0.082,0.476,150.017,257720,4
704,kanye west big sean pusha t 2 chainz,mercy,2012,27,4qikXelSRKvoCqFcHLB2H2,72,0.563,0.496,6,-9.381,0,0.406,0.0685,5.8e-05,0.173,0.426,139.993,329320,4
705,justin bieber,boyfriend,2012,28,5upsGfXh5VsZiuBirmMlf2,9,0.716,0.547,10,-6.059,0,0.0507,0.0344,0.00184,0.0931,0.362,96.977,173360,4
706,alex clare,too close,2012,30,4sK96UnGx3NjBaqvfTG2dm,59,0.584,0.712,11,-4.311,0,0.0395,0.0112,1.05e-06,0.114,0.286,126.043,256560,4
707,katy perry,part of me,2012,31,1nZzRJbFvCEct3uzu04ZoL,72,0.678,0.918,5,-4.63,1,0.0355,0.000417,0.0,0.0744,0.769,130.028,216160,4
708,snoop dogg  wiz khalifa ring bruno mars,young wild  free,2012,32,5HQVUIKwCEXpe7JIHyY734,77,0.715,0.655,0,-6.425,1,0.137,0.0525,0.0,0.115,0.531,95.078,207333,4
709,taylor swift,we are never ever getting back together,2012,33,7AEAGTc8cReDqcbPoY9gwo,64,0.628,0.676,7,-5.911,1,0.0916,0.00957,2.65e-05,0.102,0.75,85.984,191880,4
710,justin bieber ring big sean,as long as you love me,2012,34,0pwYLVXVknPSGUQb39cePC,69,0.571,0.873,0,-3.382,0,0.1,0.0811,0.0,0.361,0.613,139.691,229467,4
711,david guetta ring nicki minaj,turn me on,2012,35,6JOlNkT0QdHeZB0wPbI9IR,55,0.705,0.794,8,-2.266,1,0.0593,0.0488,0.0,0.575,0.412,127.961,199680,4
712,p!nk,blow me (one last kiss),2012,37,4k80K0b6KZ2QjAYkXON7q6,67,0.597,0.919,7,-2.954,1,0.044,0.000145,0.0,0.282,0.73,113.987,255587,4
713,owl city  carly rae jepsen,good time,2012,38,1kPpge9JDLpcj15qgrPbYX,75,0.56,0.872,3,-4.269,1,0.14,0.0239,6.98e-06,0.371,0.682,126.05,205933,4
714,demi lovato,give your heart a break,2012,39,3sP3c86WFjOzHHnbhhZcLA,70,0.651,0.695,6,-3.218,1,0.0487,0.23,0.0,0.144,0.569,123.008,205347,4
715,jay z kanye west,ni**as in paris,2012,40,4Li2WHPkuyCdtmokzW2007,79,0.789,0.858,1,-5.542,1,0.311,0.127,0.0,0.349,0.775,140.022,219333,4
716,katy perry,the one that got away,2012,41,3oL3XRtkP1WVbMxf7dtTdu,75,0.687,0.792,1,-4.023,0,0.0353,0.000802,0.0,0.2,0.864,133.962,227333,4
717,calvin harris,feel so close,2012,42,1gihuPhrLraKYrJMAEONyc,78,0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,206413,4
718,usher,scream,2012,44,12eMQUn2GzfsfsQLH53M19,66,0.616,0.862,7,-5.18,0,0.0973,0.00117,0.0,0.179,0.569,127.992,234693,4
719,tyga,rack city,2012,45,0srwKuJPH8yBzzFUJMBQM2,66,0.929,0.339,1,-10.881,1,0.371,0.0373,1.96e-05,0.187,0.273,98.986,203200,4
720,jessie j,domino,2012,46,6MAdEUilV2p9RQUqE5bMAK,63,0.757,0.547,7,-4.573,1,0.0355,0.0115,0.0,0.0445,0.793,126.977,231693,4
721,psy,gangnam style,2012,47,03UrZgTINDqvnUMbbIMhql,71,0.727,0.937,11,-2.871,0,0.286,0.00417,0.0,0.091,0.749,132.067,219493,4
723,psy,gangnam style,2013,55,03UrZgTINDqvnUMbbIMhql,71,0.727,0.937,11,-2.871,0,0.286,0.00417,0.0,0.091,0.749,132.067,219493,4
725,pitbull ring chris brown,international love,2012,48,62zFEHfAYl5kdHYOivj4BC,72,0.669,0.855,0,-3.035,0,0.0499,0.0124,0.0,0.335,0.648,120.045,227280,4
726,phillip phillips,home,2012,49,4rsW3WCZBGwhHfJWuHRwyT,67,0.606,0.826,0,-6.04,1,0.0307,0.0256,1.56e-05,0.117,0.322,121.04,210173,4
728,phillip phillips,home,2013,46,4rsW3WCZBGwhHfJWuHRwyT,67,0.606,0.826,0,-6.04,1,0.0307,0.0256,1.56e-05,0.117,0.322,121.04,210173,4
730,gym class heroes ring neon hitch,ass back home,2012,51,3bfqkspKABT4pPicm6wC9F,61,0.716,0.838,10,-4.289,1,0.0513,0.134,0.0,0.148,0.646,130.034,222213,4
731,hunter hayes,wanted,2012,52,0p1BcEcYVO3uk4KDf3gzkY,70,0.421,0.476,0,-7.692,1,0.0298,0.268,0.0,0.0816,0.3,169.784,228840,4
733,hunter hayes,wanted,2013,92,0p1BcEcYVO3uk4KDf3gzkY,70,0.421,0.476,0,-7.692,1,0.0298,0.268,0.0,0.0816,0.3,169.784,228840,4
735,luke bryan,drunk on you,2012,53,3b7CDTKB0SRTmQ6ytYi5vZ,63,0.558,0.872,9,-4.401,1,0.0449,0.178,0.0,0.173,0.472,143.971,213547,4
736,2 chainz ring drake,no lie,2012,54,6j9iyrrmqWlQZ5SD1hSTaq,60,0.634,0.665,6,-5.984,0,0.176,0.0172,0.0,0.365,0.611,131.108,237827,4
737,cher lloyd,want u back,2012,55,6E11E0lT5Zy7yb6iT3y8DN,67,0.694,0.891,9,-2.94,1,0.0949,0.0562,0.0,0.561,0.563,97.939,214573,4
738,big sean ring nicki minaj,dance (a$$),2012,57,3ZAMtgYJFoHwJjFkhkXqKr,64,0.787,0.73,11,-6.788,0,0.35,0.0276,0.00157,0.0828,0.739,159.825,220293,4
739,eric church,springsteen,2012,58,05ZACkzW8YbRq3eFgIfSNB,73,0.692,0.809,2,-5.935,1,0.0255,0.1,9.77e-05,0.185,0.927,104.023,263387,4
