,Artiste,Titre,Année,Rang,id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
163,gala,freed from desire,1996,3,3u5N55tHf7hXATSQrjBh2q,71,0.704,0.861,2,-4.221,0,0.0493,0.587,0.0615,0.0992,0.636,128.99,213394,4
165,gala,freed from desire,1997,55,3u5N55tHf7hXATSQrjBh2q,71,0.704,0.861,2,-4.221,0,0.0493,0.587,0.0615,0.0992,0.636,128.99,213394,4
167,khaled,aicha,1996,4,0cYX51Hneb8qIOx0tHm7ng,57,0.592,0.66,7,-8.028,0,0.158,0.233,6.94e-06,0.0918,0.495,170.143,259600,4
168,the fugees,killing me softly,1996,5,0Q0IVlqMV64kNLlwjPj0Hl,79,0.765,0.29,4,-17.117,0,0.139,0.0279,1.02e-06,0.571,0.506,92.409,298773,4
169,spice girls,wannabe,1996,6,1Je1IMUlBXcx1Fz0WE7oPT,79,0.768,0.864,11,-6.145,1,0.0324,0.101,0.0,0.162,0.891,110.008,173027,4
170,robert miles,children,1996,7,6nsKmSRCB5Au2OS5hBmSzf,45,0.604,0.768,0,-9.066,1,0.0331,0.000288,0.716,0.0789,0.432,137.056,246707,4
171,fool's garden,lemon tree,1996,8,4fXGWiVhlOLdhwRDP6pIFG,77,0.663,0.475,1,-8.834,1,0.0417,0.643,0.0,0.122,0.644,143.175,191027,4
172,worlds apart,je te donne,1996,10,5bQhPNavO5eOiBNvRYESzY,31,0.669,0.925,2,-6.305,1,0.0374,0.0451,0.0,0.3,0.549,136.008,223067,4
173,boris,soiree disco,1996,11,0JcNVnY8njNEI0L5s5quQZ,45,0.799,0.902,6,-7.193,0,0.0388,0.0321,0.000106,0.32,0.961,139.875,223827,4
174,no mercy,where do you go,1996,13,6RtdBwIiYavQENjkE6JCba,57,0.0821,0.104,11,-21.088,1,0.0379,0.985,0.794,0.0907,0.0354,74.773,293627,1
175,khadja nin,sambolera mayi son,1996,15,7u6uhxBy0p8MAj5xDno3pZ,30,0.481,0.368,7,-12.328,0,0.0332,0.168,0.0532,0.0896,0.136,159.913,301640,4
176,boris,miss camping,1996,17,3cie8wWbvfSamSVYZkvrGX,27,0.703,0.931,5,-5.24,0,0.135,0.00424,3.16e-05,0.294,0.79,135.953,195533,4
177,nas,if i ruled the world,1996,18,5PQmSHzWnlgG4EBuIqjac2,69,0.879,0.564,10,-7.682,0,0.247,0.0474,9.43e-06,0.0519,0.523,93.908,282373,4
