,Artiste,Titre,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
798,David Koven,Bora Bora,0Q9eUm1WZKs5dw9cmssLqr,0.522,0.483,11,-12.031,0,0.0355,0.55,0.00669,0.0881,0.621,128.889,237333,4
799,David Lemaitre,Megalomania,2IVX6zwIzkjmrSXS6kUqGI,0.711,0.887,10,-8.474,0,0.0433,0.135,0.273,0.0827,0.965,77.019,259013,4
800,David Lemaitre,Jacques Cousteau,26FWB8fFN6bWwP9hyU8Vxo,0.406,0.443,8,-12.71,0,0.1,0.922,0.12,0.0777,0.635,98.056,274453,4
801,David Lemaitre,Pandora Express,0MkLxZI5bv2h07ZEiKi1UG,0.725,0.509,0,-10.108,1,0.033,0.853,0.301,0.0986,0.481,102.931,204507,4
802,Benny Dayal,"Yethikka Yethikka (From ""Nota"")",5YM620UzbFz1Cj7JzOjXzv,0.815,0.85,4,-6.59,0,0.104,0.0768,0.0,0.101,0.736,127.95,235555,4
803,Benny Dayal,Badtameez Dil,4eu27jAU2bbnyHUC3G75U8,0.805,0.932,2,-2.228,0,0.0684,0.24,0.0,0.216,0.792,106.019,252760,4
804,Daysy,Du like,2I2gKxabhPIBqdYpKncmpU,0.534,0.697,8,-7.487,0,0.225,0.102,0.0,0.181,0.628,127.86,161640,4
805,Space Daysy,Daysy's Dance,5iJwp8LEiQrMYI8bhGcu5D,0.705,0.913,4,-10.397,0,0.0798,0.00629,0.91,0.0426,0.662,172.025,92987,4
806,Space Daysy,Space Fashion Part 1,5rna7s5OPSeSoxTXyNMk0t,0.803,0.719,3,-8.543,1,0.0428,0.000199,0.813,0.104,0.937,126.016,88000,4
807,Debout Sur Le Zinc,La déclaration,1GkUpARleYyqFLUbQ3zYTC,0.604,0.777,4,-5.626,0,0.0287,0.00984,0.000205,0.322,0.582,124.003,255760,4
808,Debout Sur Le Zinc,Se dire Adieu,35KGM6A11NPpTm37W1zBvj,0.529,0.416,0,-7.495,1,0.0415,0.645,2.3e-05,0.0813,0.657,120.466,279520,3
809,Debout Sur Le Zinc,Les mots d'amour,3r7DyuHS2wc9BdjRmlc23o,0.464,0.476,11,-6.911,0,0.0295,0.231,0.0,0.0996,0.538,167.786,176253,4
810,Dee Dee Bridgewater,"Yes, I'm Ready",5XlhFiWDin9FrGrwIrmDtp,0.56,0.609,5,-7.063,0,0.0437,0.676,0.00173,0.0949,0.408,146.848,297467,3
